City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,soio,-6.1349,12.3689,28.29,77,88,3.7,AO,1683034591
336,barao de cocais,-19.9458,-43.4872,23.21,46,0,1.77,BR,1683034591
337,sangmelima,2.9333,11.9833,27.92,64,79,1.39,CM,1683034591
338,charters towers,-20.1,146.2667,20.46,85,58,3.7,AU,1683034592
339,yongbyon,39.8133,125.8042,11.51,47,81,0.99,KP,1683034592
340,saint-philippe,-21.3585,55.7679,26.77,76,47,3.01,RE,1683034592
341,nguigmi,14.2495,13.1092,35.57,21,0,6.53,NE,1683034592
342,corn island,12.1694,-83.0418,27.69,82,100,7.85,NI,1683034593
343,sebastopol,44.6,33.5333,13.73,64,34,5.21,UA,1683034593
344,santo antonio do ica,-3.1022,-67.9397,26.17,93,100,0.64,BR,1683034593
345,camacari,-12.6975,-38.3242,25.87,79,92,1.11,BR,1683034593
346,hobyo,5.3505,48.5268,29.79,73,100,8.22,SO,1683034593
347,pristen',51.2355,36.6959,11.95,44,6,2.46,RU,1683034594
348,cockburn town,21.4612,-71.1419,27.09,71,62,0.78,TC,1683034594
349,sao gabriel,-30.3364,-54.32,14.95,93,100,4.8,BR,1683034594
350,bellampalli,19.0558,79.493,28.98,61,48,4.43,IN,1683034594
351,sokol,59.4617,40.1206,12.0,46,17,4.01,RU,1683034594
352,arraial do cabo,-22.9661,-42.0278,26.92,65,20,2.57,BR,1683034595
353,susuman,62.7833,148.1667,-8.72,93,100,1.36,RU,1683034595
354,feijo,-8.1642,-70.3536,25.42,95,83,1.76,BR,1683034595
355,ha tinh,18.3333,105.9,24.36,88,9,2.39,VN,1683034334
356,saint-francois,46.4154,3.9054,18.87,54,75,4.12,FR,1683034595
357,gilgit,35.9221,74.3087,17.71,56,100,1.77,PK,1683034596
358,onega,63.9061,38.1404,5.07,89,100,4.65,RU,1683034596
359,walvis bay,-22.9575,14.5053,15.61,55,16,7.85,NA,1683034596
360,miles city,46.4083,-105.8406,8.54,42,0,5.14,US,1683034597
361,klyuchi,52.2667,79.1667,5.01,44,70,3.41,RU,1683034597
